,Open,High,Low,Close,Volume 
7/20/2021 0:00,11.463,11.558,10.373,10.958,15411227.69
7/21/2021 0:00,10.962,12.861,10.673,12.343,20720488.4
7/22/2021 0:00,12.344,13.37,11.81,13.152,17109976.61
7/23/2021 0:00,13.154,13.52,12.321,13.401,14319244.96
7/24/2021 0:00,13.4,14.057,13.123,13.754,13352533.27
7/25/2021 0:00,13.759,13.827,13.085,13.734,10636601.77
7/26/2021 0:00,13.732,15.298,13.634,13.925,25704112.2
7/27/2021 0:00,13.924,14.54,13.349,14.365,16376850.1
7/28/2021 0:00,14.364,14.762,13.921,14.546,13296413.17
7/29/2021 0:00,14.542,15.391,14.257,15.254,16761635.31
7/30/2021 0:00,15.258,15.859,14.404,15.793,12163617.88
7/31/2021 0:00,15.791,17.018,15.58,16.784,12127994.28
8/1/2021 0:00,16.779,19.9,16.539,18.418,29839953.33
8/2/2021 0:00,18.418,18.938,17.555,17.984,17843839.09
8/3/2021 0:00,17.984,18.546,16.811,17.425,15066105.66
8/4/2021 0:00,17.426,19.584,17.094,19.15,17035350.58
8/5/2021 0:00,19.146,19.458,17.861,19.124,17528313.72
8/6/2021 0:00,19.124,20.8,18.522,20.416,17461334.49
8/7/2021 0:00,20.417,21.683,20.025,20.963,16386907.83
8/8/2021 0:00,20.963,21.205,19.192,19.65,11727291.35
8/9/2021 0:00,19.651,21.267,18.706,20.566,12450237.88
8/10/2021 0:00,20.566,21.419,20.08,20.616,13345048.98
8/11/2021 0:00,20.61,22.45,20.54,21.347,17980834.43
8/12/2021 0:00,21.346,22.314,19.9,20.755,13916627.07
8/13/2021 0:00,20.759,22.729,20.503,22.723,10079219.54
8/14/2021 0:00,22.723,23.488,21.771,22.835,12206858.98
8/15/2021 0:00,22.833,23.33,21.836,23.15,10311557.71
8/16/2021 0:00,23.15,25.699,22.821,24.432,23210244.18
8/17/2021 0:00,24.419,27.422,23.01,23.545,29082405.85
8/18/2021 0:00,23.548,25.183,22.5,23.868,20325842.46
8/19/2021 0:00,23.868,26.849,23.464,26.582,18955398.09
8/20/2021 0:00,26.579,28.477,26.066,28.149,18087062.3
8/21/2021 0:00,28.149,29.351,27.47,27.863,15380800.78
8/22/2021 0:00,27.861,28.52,26.5,27.685,12726834.13
8/23/2021 0:00,27.683,28.219,27.647,28.079,531471.431
